bruises,cap_color,cap_shape,cap_surface,gill_attachment,gill_color,gill_size,gill_spacing,habitat,odor,output,population,ring_number,ring_type,spore_print_color,stalk_color_above_ring,stalk_color_below_ring,stalk_root,stalk_shape,stalk_surface_above_ring,stalk_surface_below_ring,veil_color,veil_type
f,n,f,f,f,n,b,w,g,n,e,s,o,e,n,w,w,e,t,s,f,w,p
f,e,k,s,f,b,n,c,d,y,p,v,o,e,w,p,p,nan,t,s,s,w,p
t,n,f,y,f,p,b,c,d,n,e,y,o,p,k,g,g,b,t,s,s,w,p
t,y,b,y,f,w,b,c,m,a,e,n,o,p,k,w,w,c,e,s,s,w,p
t,w,b,y,f,n,b,c,m,a,e,s,o,p,n,w,w,c,e,s,s,w,p
t,w,f,f,f,p,n,w,d,a,e,v,o,p,n,w,w,b,t,s,s,w,p
t,n,f,y,f,n,b,c,d,n,e,y,o,p,k,w,g,b,t,s,s,w,p
f,n,f,s,a,y,b,c,l,n,e,v,o,p,n,o,o,nan,e,s,s,o,p
f,n,f,y,f,b,n,c,l,s,p,v,o,e,w,p,w,nan,t,s,s,w,p
f,n,k,s,f,b,n,c,l,s,p,v,o,e,w,w,p,nan,t,k,k,w,p
t,g,x,f,f,w,b,c,d,n,e,v,o,p,k,p,w,b,t,s,s,w,p
t,p,x,y,f,e,b,c,w,n,e,c,t,e,w,e,e,nan,e,s,s,w,p
t,e,f,f,f,p,b,c,d,n,e,v,o,p,k,w,g,b,t,s,s,w,p
t,g,f,f,f,w,b,c,d,n,e,y,o,p,n,p,g,b,t,s,s,w,p
t,n,x,s,f,w,n,c,g,p,p,s,o,p,k,w,w,e,e,s,s,w,p
f,g,x,s,f,h,b,w,g,n,e,a,o,e,n,w,w,e,t,f,s,w,p
f,e,f,s,f,b,n,c,l,s,p,v,o,e,w,w,p,nan,t,k,k,w,p
f,n,s,f,f,g,n,c,u,n,e,v,o,p,k,w,w,e,e,s,s,w,p
f,y,x,y,f,p,b,c,p,f,p,y,o,l,h,b,b,b,e,k,k,w,p
f,w,x,s,f,w,b,w,g,n,e,s,t,p,w,w,w,nan,e,k,s,w,p
t,y,x,s,f,k,b,c,m,l,e,s,o,p,k,w,w,c,e,s,s,w,p
t,e,x,f,f,u,b,c,d,n,e,y,o,p,n,g,p,b,t,s,s,w,p
t,n,x,y,f,w,b,c,p,a,e,y,o,p,k,w,w,r,e,s,y,w,p
t,w,x,s,f,n,b,c,m,a,e,s,o,p,k,w,w,c,e,s,s,w,p
f,n,x,s,f,b,n,c,p,y,p,v,o,e,w,w,w,nan,t,k,s,w,p
t,e,f,f,f,w,b,c,d,n,e,y,o,p,n,g,w,b,t,s,s,w,p
t,n,f,f,f,n,b,c,d,n,e,y,o,p,k,g,w,b,t,s,s,w,p
f,n,x,y,f,b,n,c,p,s,p,v,o,e,w,p,p,nan,t,s,s,w,p
f,w,x,s,f,n,b,w,g,n,e,a,o,e,k,w,w,e,t,f,f,w,p
f,n,s,f,f,n,n,c,u,n,e,v,o,p,k,w,w,e,e,s,s,w,p
f,n,x,s,f,k,b,w,g,n,e,a,o,e,n,w,w,e,t,s,s,w,p
f,e,k,y,f,b,n,c,p,f,p,v,o,e,w,w,p,nan,t,s,k,w,p
f,g,x,f,f,h,b,c,d,f,p,y,o,l,h,b,p,b,e,k,k,w,p
t,y,x,s,f,w,b,c,m,l,e,s,o,p,k,w,w,c,e,s,s,w,p
f,e,k,y,f,b,n,c,d,f,p,v,o,e,w,w,w,nan,t,k,k,w,p
t,g,x,f,f,n,b,c,d,n,e,y,o,p,n,g,g,b,t,s,s,w,p
f,g,x,f,f,g,b,c,d,f,p,v,o,l,h,p,b,b,e,k,k,w,p
f,g,x,f,f,h,b,c,d,f,p,y,o,l,h,n,p,b,e,k,k,w,p
f,g,f,s,f,p,b,w,g,n,e,s,o,e,k,w,w,e,t,f,f,w,p
t,e,f,y,f,n,b,c,d,n,e,y,o,p,k,g,p,b,t,s,s,w,p
f,w,x,y,f,w,n,c,d,n,e,v,o,f,h,w,w,nan,e,s,f,w,p
